career,student,graduation,antiquity
16,33722258,,9
12,24910736,,9
18,33490433,,5
15,41082848,,7
6,36685605,,2
18,30348688,,5
6,20232293,,6
4,38442386,,5
15,41190416,,5
4,23021390,1997,2
17,22268547,,7
10,26854394,,5
19,40843985,,10
7,23336581,1979,4
7,33746146,,8
16,36857267,,10
3,43787432,1985,1
15,34940346,,1
17,30357481,,3
17,35367173,,1
18,25180549,,6
7,42468722,,6
18,34133429,,3
12,37729400,,1
11,27087879,,1
20,43777380,,2
8,33929646,,8
19,44916878,1973,4
5,32827074,,8
17,20927295,,4
1,31898982,,10
14,20177133,1967,5
1,42410257,1993,1
11,36675235,1995,7
16,44098018,,8
